 9657000 [ 8  3 16 43 32] {'accuracy': 0.9976365, 'global_step': 2496513, 'loss': 0.027840285}160
 8325000 [ 6  2 20 61 13] {'accuracy': 0.99598205, 'global_step': 2496513, 'loss': 0.038476262}166
 9990000 [ 8  3 16 43 32] {'accuracy': 0.9976365, 'global_step': 2496513, 'loss': 0.027840285}167
 8658000 [ 5  7 15 43 32] {'accuracy': 0.9976365, 'global_step': 2496513, 'loss': 0.027818145}177
 10323000 [ 8  4 15 43 32] {'accuracy': 0.99740016, 'global_step': 2496513, 'loss': 0.027306914}174
 8991000 [ 7  5 15 43 32] {'accuracy': 0.99740016, 'global_step': 2496513, 'loss': 0.028587602}154
 10656000 [ 9  3 15 43 32] {'accuracy': 0.99716377, 'global_step': 2496513, 'loss': 0.030315109}165
 9324000 [ 7  3 18 61 13] {'accuracy': 0.99527299, 'global_step': 2496513, 'loss': 0.033870094}171
 10989000 [ 9  3 15 43 32] {'accuracy': 0.99716377, 'global_step': 2496513, 'loss': 0.030315109}176
 9657000 [ 8  3 16 43 32] {'accuracy': 0.9976365, 'global_step': 2496513, 'loss': 0.027840285}160
 11322000 [ 9  3 15 43 32] {'accuracy': 0.99716377, 'global_step': 2496513, 'loss': 0.030315109}184
 9990000 [ 8  3 16 43 32] {'accuracy': 0.9976365, 'global_step': 2496513, 'loss': 0.027840285}167
 11655000 [ 10  2 15 62 13] {'accuracy': 0.99409121, 'global_step': 2496513, 'loss': 0.033346295}175
 10323000 [ 8  4 15 43 32] {'accuracy': 0.99740016, 'global_step': 2496513, 'loss': 0.027306914}174
 11988000 [ 9  3 15 43 32] {'accuracy': 0.99716377, 'global_step': 2496513, 'loss': 0.030315109}201
 10656000 [ 9  3 15 43 32] {'accuracy': 0.99716377, 'global_step': 2496513, 'loss': 0.030315109}165
 12321000 [ 11  2 15 61 13] {'accuracy': 0.99338216, 'global_step': 2496513, 'loss': 0.033928398}172
 10989000 [ 9  3 15 43 32] {'accuracy': 0.99716377, 'global_step': 2496513, 'loss': 0.030315109}176
 12654000 [ 11  2 15 61 13] {'accuracy': 0.99338216, 'global_step': 2496513, 'loss': 0.033928398}182
 12987000 [ 11  2 15 61 13] {'accuracy': 0.99338216, 'global_step': 2496513, 'loss': 0.033928398}190
 13320000 [ 12  1 14 62 13] {'accuracy': 0.99361855, 'global_step': 2496513, 'loss': 0.032323878}183
 13653000 [ 12  1 14 62 13] {'accuracy': 0.99361855, 'global_step': 2496513, 'loss': 0.032323878}193
 13986000 [ 12  1 14 62 13] {'accuracy': 0.99361855, 'global_step': 2496513, 'loss': 0.032323878}200
 14319000 [ 12 15  8 35 32] {'accuracy': 0.99787283, 'global_step': 2496513, 'loss': 0.012093358}129
 14652000 [ 13  3 15 35 36] {'accuracy': 0.99598205, 'global_step': 2496513, 'loss': 0.018302821}187
 33300 [ 0 0 0 0 9] {'global_step': 2496513, 'accuracy': 0.35358071, 'loss': 20.358883}26
 66600 [ 0  0  0  1 14] {'global_step': 2496513, 'accuracy': 0.54195225, 'loss': 15.518776}12
 99900 [ 0 0 0 5 7] {'global_step': 2496513, 'accuracy': 0.37036163, 'loss': 15.489284}45
 133200 [ 0  0  0  4 20] {'global_step': 2496513, 'accuracy': 0.61380291, 'loss': 13.695403}60
 166500 [ 0  0  1  2 22] {'global_step': 2496513, 'accuracy': 0.61025763, 'loss': 12.306872}88
 199800 [ 0  0  2  1 20] {'global_step': 2496513, 'accuracy': 0.64192861, 'loss': 11.232788}94
 233100 [ 0  0  0  3 52] {'global_step': 2496513, 'accuracy': 0.72252423, 'loss': 9.2722511}124
 266400 [ 0  0  1  1 54] {'global_step': 2496513, 'accuracy': 0.72748756, 'loss': 7.8795042}128
 299700 [ 0  0  1  2 59] {'global_step': 2496513, 'accuracy': 0.74805009, 'loss': 6.7030272}172
 333000 [ 0  0  2  1 57] {'global_step': 2496513, 'accuracy': 0.75892222, 'loss': 5.809073}205
 366300 [ 0  0  1  7 58] {'global_step': 2496513, 'accuracy': 0.75726777, 'loss': 4.9992447}213
 399600 [ 0  0  1 10 55] {'global_step': 2496513, 'accuracy': 0.78066653, 'loss': 4.4103398}234
 432900 [ 0  0  2  8 57] {'global_step': 2496513, 'accuracy': 0.79248405, 'loss': 3.9863088}288
 466200 [ 0  0  2  4 82] {'global_step': 2496513, 'accuracy': 0.84849918, 'loss': 3.3876305}351
 499500 [ 0  0  2  6 83] {'global_step': 2496513, 'accuracy': 0.86906171, 'loss': 2.6357529}332
 532800 [ 0  0  2  9 81] {'global_step': 2496513, 'accuracy': 0.88655162, 'loss': 2.0563509}383
 566100 [ 0  0  3  8 79] {'global_step': 2496513, 'accuracy': 0.90167809, 'loss': 1.7790802}442
 599400 [ 0  0  3 11 76] {'global_step': 2496513, 'accuracy': 0.90829593, 'loss': 1.5460826}403
 632700 [ 0  0  4  5 93] {'global_step': 2496513, 'accuracy': 0.92838573, 'loss': 1.272171}361
 666000 [ 0  0  4  7 91] {'global_step': 2496513, 'accuracy': 0.93547624, 'loss': 1.1143349}324
 699300 [ 0  0  5  6 91] {'global_step': 2496513, 'accuracy': 0.9361853, 'loss': 0.99993044}375
 732600 [ 0  0  7  3 84] {'global_step': 2496513, 'accuracy': 0.91940439, 'loss': 1.010125}334
